INITIAL DISTRIBUTION	MB
BIN SIZE	0.179382
T_SIGN	BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
1	19	3.58763	3.76701	2.7	2.39112	0.156935
1	20	3.76701	3.9464	2.325	2.54338	0.117463
1	21	3.9464	4.12578	0.742	1.41115	0.147592
1	22	4.12578	4.30516	0.5985	0.873269	0.151039
1	23	4.30516	4.48454	0.6715	0.5995	0.119444
1	24	4.48454	4.66392	0.3795	0.246423	0.0394328
1	25	4.66392	4.8433	0.1945	0.110269	0.0211037
1	26	4.8433	5.02269	0.1015	0.142808	0.0462826
1	27	5.02269	5.20207	0.0735	0.227	0.0758442
1	28	5.20207	5.38145	0.8965	0.217808	0.0879432
1	29	5.38145	5.56083	0.076	0.101846	0.0469594

1	0	0.179382	0.358763	0.2405	0.363179	0.0550978
1	1	0.358763	0.538145	1.027	0.812643	0.08336
1	2	0.538145	0.717527	1.425	1.75579	0.233961
1	3	0.717527	0.896908	2.29	2.44814	0.201343
1	4	0.896908	1.07629	4.099	3.96968	0.327573
1	5	1.07629	1.25567	4.823	4.739	0.380054
1	6	1.25567	1.43505	5.706	6.51979	0.368735
1	7	1.43505	1.61443	6.671	6.80207	0.285311
1	8	1.61443	1.79382	6.534	7.1275	0.296458
1	9	1.79382	1.9732	8.4635	8.85046	0.268443
1	10	1.9732	2.15258	9.53	8.65575	0.295865
1	11	2.15258	2.33196	6.618	7.89657	0.289556
1	12	2.33196	2.51134	9.0265	8.15246	0.304946
1	13	2.51134	2.69072	7.935	6.61132	0.349492
1	14	2.69072	2.87011	6.094	6.20796	0.251447
1	15	2.87011	3.04949	6.428	5.4965	0.281484
1	16	3.04949	3.22887	5.3655	4.78993	0.252344
1	17	3.22887	3.40825	3.8	4.42129	0.233506
1	18	3.40825	3.58763	3.331	3.27518	0.164994
1	19	3.58763	3.76701	2.2385	2.38021	0.146104
1	20	3.76701	3.9464	1.227	2.44936	0.141798
1	21	3.9464	4.12578	1.6205	1.42611	0.137805
1	22	4.12578	4.30516	0.56	0.850893	0.141899
1	23	4.30516	4.48454	1.137	0.637893	0.11692
1	24	4.48454	4.66392	1.0205	0.301714	0.064649
1	25	4.66392	4.8433	0.7225	0.154	0.0464736
1	26	4.8433	5.02269	0.019	0.133964	0.0438134
1	27	5.02269	5.20207	0.0345	0.21325	0.0716623
1	28	5.20207	5.38145	0	0.20225	0.0830263
1	29	5.38145	5.56083	0	0.0945714	0.0441651

1	0	0.179382	0.358763	0.1695	0.350267	0.0529159
1	1	0.358763	0.538145	0.645	0.801467	0.0785483
1	2	0.538145	0.717527	2.2175	1.78657	0.220379
1	3	0.717527	0.896908	4.093	2.5578	0.215724
1	4	0.896908	1.07629	5.1405	4.04773	0.314897
1	5	1.07629	1.25567	5.23	4.77173	0.356124
1	6	1.25567	1.43505	7.3945	6.5781	0.348733
1	7	1.43505	1.61443	6.689	6.79453	0.26639
1	8	1.61443	1.79382	8.1875	7.19817	0.284992
1	9	1.79382	1.9732	8.679	8.83903	0.25079
1	10	1.9732	2.15258	8.329	8.63397	0.276942
1	11	2.15258	2.33196	6.0595	7.7741	0.295018
1	12	2.33196	2.51134	5.8845	8.00127	0.319911
1	13	2.51134	2.69072	5.112	6.51137	0.340186
1	14	2.69072	2.87011	4.264	6.07837	0.265993
1	15	2.87011	3.04949	4.2385	5.41263	0.274929
1	16	3.04949	3.22887	4.423	4.76547	0.236704
1	17	3.22887	3.40825	5.8865	4.51897	0.237493
1	18	3.40825	3.58763	3.237	3.27263	0.154014
1	19	3.58763	3.76701	3.124	2.4298	0.144533
1	20	3.76701	3.9464	1.5155	2.3871	0.14537
1	21	3.9464	4.12578	3.269	1.54897	0.175016
1	22	4.12578	4.30516	1.009	0.861433	0.13283
1	23	4.30516	4.48454	1.4245	0.690333	0.120312
1	24	4.48454	4.66392	0.8945	0.341233	0.0714034
1	25	4.66392	4.8433	0.454	0.174	0.0474843
1	26	4.8433	5.02269	0.277	0.1435	0.0419174
1	27	5.02269	5.20207	0.079	0.2043	0.0674414
