walk_id	step	x	y	z
6	98	3	4	11
7	98	6	-3	-1
8	98	0	-2	-2
9	98	-2	-2	6
0	99	5	0	-2
1	99	-3	-4	2
2	99	-1	-7	-5
3	99	-3	1	-5
4	99	-7	-9	9
5	99	-6	2	1
6	99	3	4	10
7	99	6	-3	-2
8	99	0	-2	-3
9	99	-2	-2	7
