walk_id	step	x	y	z
7	34	-1.84883	0.67082	-10.5471
8	34	-9.42595	2.92332	4.66995
9	34	0.692482	-1.95804	1.94412
0	35	2.36586	1.76051	1.78565
1	35	-1.45658	1.41337	5.53391
2	35	-4.91208	1.52293	3.08238
3	35	3.68718	-1.32325	2.61372
4	35	4.06876	-0.541608	-2.15429
5	35	4.93316	0.677478	-0.307592
6	35	-1.31113	-2.90278	-8.37729
7	35	-1.90044	-0.131474	-11.1417
8	35	-9.08958	3.13934	3.75332
9	35	0.58862	-1.91837	2.93792
0	36	3.3635	1.79741	1.84365
1	36	-1.00206	1.90265	6.27823
2	36	-4.91392	1.57309	2.08364
3	36	3.14583	-0.820065	1.94011
4	36	3.07032	-0.577937	-2.11189
5	36	4.47049	0.180019	0.426213
6	36	-1.30989	-2.93735	-9.37669
7	36	-1.36717	-0.62776	-11.8268
8	36	-8.09058	3.17508	3.78012
9	36	1.05934	-1.41287	3.66103
0	37	3.98412	1.86735	2.62463
1	37	-0.676902	1.49162	7.12989
2	37	-5.0543	1.18177	2.99312
3	37	2.85151	-0.883609	2.8937
4	37	2.94372	-0.447293	-1.12858
5	37	4.48498	0.238249	1.42441
6	37	-1.25012	-2.91801	-10.3747
7	37	-1.22598	-0.746837	-12.8096
8	37	-8.13405	2.87442	2.82738
9	37	0.676302	-1.58094	2.75272
0	38	3.64903	1.7619	3.5609
1	38	-0.898897	1.91948	6.25373
2	38	-4.27645	1.77602	2.78863
3	38	3.43421	-1.42069	3.50362
4	38	2.91512	-0.491815	-0.129977
5	38	3.81774	0.518145	0.73416
6	38	-1.02964	-1.94774	-10.2748
7	38	-0.654777	-0.775245	-11.9893
8	38	-8.10307	2.62597	1.85923
9	38	-0.182072	-1.8444	2.31251
0	39	4.11068	2.32335	4.24767
1	39	-1.49271	2.44513	6.86289
2	39	-4.86332	1.1598	3.31385
3	39	4.06293	-2.06473	3.93942
4	39	3.61104	0.139713	0.21189
5	39	3.19268	1.25948	0.97853
6	39	-1.80889	-2.55762	-10.1305
7	39	-0.0680724	-1.58391	-11.9465
8	39	-7.27426	3.18237	1.80003
9	39	-0.702004	-1.00542	2.15194
0	40	4.30929	2.55119	3.29444
1	40	-1.65104	1.46211	6.77013
2	40	-5.04651	1.59603	4.19484
3	40	4.57488	-2.42712	3.16059
4	40	2.6511	0.19614	0.48636
5	40	3.29949	1.31763	1.97111
6	40	-2.23585	-3.31207	-10.629
7	40	-0.101738	-0.787922	-11.3421
8	40	-7.1352	2.9789	0.83088
9	40	-1.60711	-0.607714	2.00158
0	41	4.64502	1.95569	4.02428
1	41	-2.03644	1.30772	7.67987
2	41	-5.07195	1.69623	5.18948
3	41	4.79262	-2.40166	2.18492
4	41	2.64281	-0.322725	-0.368457
5	41	2.54344	1.43058	1.32642
6	41	-1.97825	-2.41833	-10.9962
7	41	0.812989	-1.18871	-11.3936
8	41	-7.63463	2.1556	1.10061
9	41	-2.25112	-0.089468	2.56432
0	42	4.18951	1.41129	3.31991
1	42	-1.77955	0.987132	8.59159
2	42	-4.18548	2.15441	5.12437
3	42	4.7132	-2.12395	1.22754
4	42	1.85001	-0.386303	0.237696
5	42	2.44337	0.590003	0.794049
6	42	-1.78649	-2.48124	-10.0168
7	42	1.30006	-0.329094	-11.2392
8	42	-8.00565	2.47711	0.22942
9	42	-2.7604	-0.483302	3.32952
0	43	4.50894	1.90838	4.12667
1	43	-1.88137	0.790686	7.61637
2	43	-3.85436	2.97102	4.6516
3	43	4.44385	-3.0192	1.58246
4	43	1.9184	-0.0476992	1.17614
5	43	2.39226	0.111061	-0.0823083
6	43	-1.77344	-1.50392	-10.2282
7	43	1.36375	-1.1273	-10.6402
8	43	-8.01822	2.54923	1.22674
9	43	-2.57546	-1.16329	2.62001
0	44	5.29321	2.24319	3.60436
1	44	-2.53052	0.331657	8.22291
2	44	-3.66593	3.17602	3.69115
3	44	3.93912	-3.87806	1.49522
4	44	2.05688	0.371159	2.07357
5	44	2.3197	-0.562557	-0.817817
6	44	-1.87069	-0.578455	-9.86206
7	44	1.3654	-1.13235	-11.6402
8	44	-8.48954	3.35606	0.870525
9	44	-2.12358	-1.6575	3.36268
0	45	4.85162	3.08541	3.91364
1	45	-2.8465	0.436077	7.27991
2	45	-4.50754	2.76994	4.04724
3	45	3.8082	-4.23391	0.569892
4	45	2.42705	-0.466309	2.47559
5	45	2.7131	-0.722377	-1.72319
6	45	-1.04089	-0.244298	-9.41509
7	45	1.55633	-0.703942	-12.5234
8	45	-8.78786	4.17466	1.36133
9	45	-2.58427	-1.43347	2.50386
0	46	4.82811	3.12085	2.91454
1	46	-3.46963	-0.289227	7.57257
2	46	-4.03228	2.54938	3.19548
3	46	3.91801	-3.55024	1.29137
4	46	1.56036	-0.567299	1.98707
5	46	2.80963	-0.956383	-0.755756
6	46	-0.25491	0.37395	-9.41655
7	46	1.35392	-0.556661	-13.4915
8	46	-9.09064	3.35482	1.84731
9	46	-1.89606	-1.48762	1.78037
0	47	5.79262	3.29666	3.11152
1	47	-3.3613	-0.340386	6.57977
2	47	-3.54624	1.67645	3.23737
3	47	3.9139	-3.58629	2.29072
4	47	0.894159	-1.30427	1.87285
5	47	2.62253	-0.997097	0.225741
6	47	-1.13964	0.755602	-9.6841
7	47	1.1775	-0.26368	-12.5518
8	47	-9.01835	4.26206	1.43296
9	47	-1.58377	-1.11762	2.65534
0	48	5.33325	3.21957	2.22663
1	48	-3.35087	-0.318897	5.58006
2	48	-3.3432	1.30535	4.1435
3	48	3.13759	-3.49457	2.91436
4	48	1.55022	-0.579704	2.08399
5	48	2.83101	-1.94384	-0.0196321
6	48	-1.83857	1.05232	-10.3348
7	48	1.51051	-0.0590022	-13.4723
8	48	-9.02231	4.20317	2.43121
9	48	-1.96825	-0.803292	3.52331
0	49	5.92249	2.44702	1.99006
1	49	-4.19557	0.207804	5.67532
2	49	-2.45148	1.1284	4.56004
3	49	2.42533	-3.61373	3.60608
4	49	1.94363	-0.350566	2.97434
5	49	2.74405	-2.051	0.9708
6	49	-1.77736	1.23699	-11.3157
7	49	1.53152	-0.564127	-14.3351
8	49	-9.32077	4.90279	1.78202
9	49	-1.32323	-1.47534	3.15956
0	50	6.38821	1.78928	1.39805
1	50	-3.36347	-0.0337106	5.17604
2	50	-1.60385	1.47653	4.15963
3	50	2.89061	-2.77975	3.30944
4	50	1.78399	0.618302	2.78511
5	50	2.00477	-1.38231	0.891295
6	50	-2.77488	1.30002	-11.2845
7	50	0.71961	-1.13049	-14.1935
8	50	-9.59718	3.97487	2.03213
9	50	-0.974234	-2.34236	3.51519
0	51	7.09817	1.49016	2.0356
1	51	-3.37232	-0.0349333	6.176
2	51	-1.01052	1.94968	3.5084
3	51	2.54139	-3.70292	3.47007
4	51	1.69498	1.12374	3.64336
5	51	2.21705	-1.62914	-0.0542272
6	51	-3.659	1.59748	-11.6449
7	51	1.57678	-0.946524	-13.7125
8	51	-9.74174	3.8409	3.01251
9	51	-0.797703	-1.74525	2.7327
0	52	7.23272	1.42183	1.04706
1	52	-3.08031	-0.478064	5.32844
2	52	-0.957518	1.128	2.94092
3	52	2.11134	-4.58458	3.2758
4	52	0.887503	0.572807	3.85418
5	52	1.40601	-1.69458	0.527087
6	52	-4.12662	1.81633	-10.7885
7	52	1.49937	-0.83691	-12.7215
8	52	-9.76778	4.10959	2.04964
9	52	-0.53996	-1.17062	1.95593
0	53	7.14165	1.7727	0.115072
1	53	-3.22526	-0.639354	4.35223
2	53	-0.892054	1.11829	1.94311
3	53	2.0749	-4.50665	4.27209
4	53	0.764292	0.371248	4.82588
5	53	1.78673	-1.68084	1.45167
6	53	-4.42728	2.23677	-9.93243
7	53	1.27047	-1.43546	-11.9538
8	53	-9.03586	4.27285	2.71118
9	53	-1.14617	-0.586804	2.49599
0	54	7.77285	1.81697	-0.659281
1	54	-2.95698	-0.386826	5.28189
2	54	-0.763056	2.10128	2.07378
3	54	1.76063	-3.99939	3.46965
4	54	0.376064	0.504655	5.73773
5	54	0.852206	-2.02638	1.53693
6	54	-4.71082	1.75449	-10.7613
7	54	1.33961	-1.88186	-11.0617
8	54	-8.2926	3.60502	2.75083
9	54	-0.625728	-0.611205	1.64244
0	55	8.09976	1.42757	-1.52039
1	55	-3.12002	-1.3679	5.17744
2	55	-1.342	1.75184	2.81047
3	55	1.5812	-3.93993	2.48767
4	55	0.0352576	1.33913	5.30473
5	55	1.25707	-1.23977	2.00311
6	55	-4.5625	1.7896	-9.77298
7	55	1.90748	-2.29647	-11.7727
8	55	-8.21637	2.61799	2.89214
9	55	-0.962574	-0.947661	2.52183
0	56	8.5492	2.00529	-2.20174
1	56	-2.1699	-1.59859	5.38732
2	56	-1.27074	1.37062	3.7322
3	56	1.14319	-4.2446	1.64191
4	56	-0.821468	1.85277	5.25782
5	56	1.32839	-0.633485	2.79516
6	56	-4.27666	1.87986	-10.727
7	56	2.54268	-3.00793	-12.0733
8	56	-8.53882	1.89398	3.50191
9	56	-1.0086	-0.947844	1.52289
0	57	9.0027	1.43337	-1.51819
1	57	-1.48422	-1.89113	6.05385
2	57	-0.513425	1.4419	4.38135
3	57	1.78712	-3.81256	2.27333
4	57	-0.454837	2.55232	5.87118
5	57	1.31684	0.170183	3.39012
6	57	-4.67669	2.59253	-10.1507
7	57	1.84014	-2.56531	-11.5161
8	57	-9.38003	1.94882	4.03985
9	57	-1.78521	-1.3059	2.04123
0	58	9.84375	1.95323	-1.6678
1	58	-0.662578	-2.13444	5.53838
2	58	-0.259056	0.903488	3.57797
3	58	1.69208	-4.03727	1.30355
4	58	-0.591497	2.50565	6.86069
5	58	0.871509	0.420705	4.24972
6	58	-4.84886	3.37403	-9.55106
7	58	2.40655	-1.77973	-11.267
8	58	-8.39517	2.05219	3.90064
9	58	-1.14668	-1.88538	1.53479
0	59	9.1576	1.2788	-1.94046
1	59	-1.07513	-1.8783	4.6642
2	59	-0.172692	1.16655	4.53888
3	59	2.56566	-4.10626	1.78531
4	59	-0.438987	1.55817	6.5796
5	59	0.430953	0.23548	3.37132
6	59	-5.01841	3.60348	-8.59262
7	59	2.97108	-1.10402	-10.793
8	59	-7.53647	1.62932	3.61114
9	59	-1.24891	-2.34432	0.652219
0	60	9.911	1.0084	-2.53984
1	60	-1.05158	-2.5705	5.38553
2	60	-0.751103	0.91335	3.76343
3	60	1.96346	-3.51104	2.31735
4	60	-0.273217	1.94921	5.67428
5	60	1.38111	0.214242	3.68237
6	60	-4.95119	3.42284	-9.57387
7	60	2.23106	-1.77279	-10.7214
8	60	-7.58198	1.65172	4.60985
9	60	-1.17146	-1.36231	0.479982
0	61	9.96642	0.131374	-2.0626
1	61	-1.27312	-2.94292	4.48429
2	61	-1.58702	0.525522	4.1518
3	61	1.62565	-3.45467	1.37782
4	61	-0.96226	2.61084	5.97002
5	61	1.33034	0.457275	2.71369
6	61	-4.57524	4.32759	-9.37365
7	61	2.35816	-1.69003	-11.7098
8	61	-6.58753	1.62931	4.7126
9	61	-1.12792	-1.39355	-0.518581
0	62	9.87266	0.0509766	-1.07025
1	62	-1.20879	-3.66598	5.17208
2	62	-0.726983	0.02009	4.22165
3	62	2.36972	-3.12291	0.797901
4	62	-0.910325	2.8662	5.00457
5	62	1.04931	0.758876	3.62476
6	62	-5.46489	4.21125	-8.93207
7	62	1.90003	-2.54887	-11.939
8	62	-6.31809	1.08645	3.91718
9	62	-1.09095	-1.39949	0.480718
0	63	9.25218	0.0654585	-0.286166
1	63	-1.66501	-4.13669	4.41691
2	63	-0.679851	-0.842173	4.72591
3	63	2.62811	-3.33697	-0.144124
4	63	0.068892	2.99676	5.15977
5	63	1.06689	0.783816	4.6243
6	63	-5.66893	5.16627	-9.14724
7	63	1.56267	-2.34851	-11.0192
8	63	-7.11494	0.850018	3.36118
9	63	-1.40062	-2.02767	1.1945
0	64	9.73749	0.0419951	-1.1602
1	64	-2.65837	-4.11519	4.52992
2	64	-0.40269	-0.84078	5.68673
3	64	1.84776	-3.36171	-0.768977
4	64	0.944141	3.0479	5.64073
5	64	0.959837	0.774691	3.63009
6	64	-4.71566	5.2732	-9.42979
7	64	0.939458	-2.4353	-10.2419
8	64	-6.64537	0.928226	2.48176
9	64	-2.37719	-2.21721	1.29637
0	65	9.89356	0.12503	-0.175945
1	65	-3.46764	-4.29783	5.08824
2	65	0.574687	-0.884819	5.47987
3	65	1.34085	-3.1982	-1.61533
4	65	1.14231	2.91835	6.6123
5	65	0.388154	1.42021	4.13652
6	65	-4.28964	4.4086	-9.69621
7	65	0.848456	-1.96424	-11.1193
8	65	-6.66788	0.633245	3.43699
9	65	-2.07719	-1.37751	1.74902
0	66	10.1341	0.00324307	0.787011
1	66	-2.486	-4.48719	5.0653
2	66	0.799034	-0.865145	4.50555
3	66	2.17044	-2.88072	-1.15599
4	66	1.67421	3.3173	5.86536
5	66	0.726194	1.8656	4.96559
6	66	-3.94807	5.28614	-10.0328
7	66	0.857109	-1.87161	-10.1237
8	66	-6.84945	1.60412	3.59329
9	66	-2.25398	-1.02329	0.830718
0	67	10.6032	0.385809	-0.00899461
1	67	-2.86465	-4.82852	5.9256
2	67	1.49993	-0.167541	4.35691
3	67	2.01272	-3.05404	-2.12814
4	67	2.19073	3.94456	6.44824
5	67	0.221474	1.18694	4.43205
6	67	-3.85008	5.43249	-9.0484
7	67	0.353631	-2.71042	-9.9165
8	67	-6.58531	2.09795	2.76481
9	67	-2.49205	-1.52673	1.6613
0	68	10.9705	-0.420167	0.455228
1	68	-2.87989	-4.90065	4.92832
2	68	0.794181	-0.795013	4.02797
3	68	1.33817	-3.11555	-1.39248
4	68	1.84383	4.15481	5.53421
5	68	-0.158797	2.11177	4.44076
6	68	-3.75529	5.81044	-8.12744
