T_SIGN	BLOCK	ACTUAL_PE	PE_AVE	ERROR
1	538	-6.01495	-5.96159	0.00225104
1	539	-6.01568	-5.96169	0.0022491
1	540	-6.01666	-5.9618	0.00224724
1	541	-6.01745	-5.9619	0.00224544
1	542	-6.0182	-5.962	0.00224369
1	543	-6.01844	-5.96211	0.00224197
1	544	-6.01955	-5.96221	0.00224033
1	545	-6.02017	-5.96232	0.00223874
1	546	-6.02073	-5.96243	0.0022372
1	547	-6.02111	-5.96253	0.00223568
1	548	-6.02174	-5.96264	0.00223421
1	549	-6.02202	-5.96275	0.00223276
1	550	-6.02333	-5.96286	0.00223141
1	551	-6.02354	-5.96297	0.00223008
1	552	-6.02386	-5.96308	0.00222876
1	553	-6.02399	-5.96319	0.00222745
1	554	-6.02454	-5.9633	0.00222618
1	555	-6.02476	-5.96341	0.00222493
1	556	-6.02464	-5.96352	0.00222365
1	557	-6.02479	-5.96363	0.00222237
1	558	-6.02475	-5.96374	0.00222109
1	559	-6.02484	-5.96385	0.0022198
1	560	-6.02506	-5.96396	0.00221853
1	561	-6.0251	-5.96407	0.00221725
1	562	-6.02496	-5.96418	0.00221595
1	563	-6.0248	-5.96429	0.00221463
1	564	-6.02476	-5.96439	0.0022133
1	565	-6.02516	-5.9645	0.00221199
1	566	-6.02508	-5.96461	0.00221067
1	567	-6.02468	-5.96471	0.00220931
1	568	-6.02426	-5.96482	0.0022079
1	569	-6.02411	-5.96492	0.00220648
1	570	-6.0241	-5.96503	0.00220505
1	571	-6.02377	-5.96513	0.00220359
1	572	-6.02388	-5.96523	0.00220213
1	573	-6.02321	-5.96533	0.00220061
1	574	-6.02282	-5.96543	0.00219905
1	575	-6.02257	-5.96553	0.00219747
1	576	-6.02215	-5.96563	0.00219586
1	577	-6.02201	-5.96573	0.00219422
1	578	-6.02156	-5.96582	0.00219255
1	579	-6.02109	-5.96592	0.00219084
1	580	-6.02045	-5.96601	0.00218908
1	581	-6.0201	-5.96611	0.00218729
1	582	-6.01989	-5.9662	0.00218548
1	583	-6.01997	-5.96629	0.00218368
1	584	-6.01988	-5.96638	0.00218187
1	585	-6.01933	-5.96647	0.00218002
1	586	-6.01908	-5.96656	0.00217814
1	587	-6.01866	-5.96665	0.00217624
1	588	-6.01807	-5.96674	0.00217429
1	589	-6.01733	-5.96683	0.0021723
1	590	-6.01719	-5.96691	0.00217029
1	591	-6.01659	-5.967	0.00216825
1	592	-6.01613	-5.96708	0.00216617
1	593	-6.01582	-5.96716	0.00216408
1	594	-6.01535	-5.96724	0.00216196
1	595	-6.01442	-5.96732	0.00215978
1	596	-6.01365	-5.9674	0.00215755
1	597	-6.01302	-5.96748	0.00215529
1	598	-6.01285	-5.96755	0.00215302
1	599	-6.01238	-5.96763	0.00215073
1	600	-6.0119	-5.9677	0.00214841
1	601	-6.01159	-5.96777	0.00214607
1	602	-6.01112	-5.96784	0.00214372
1	603	-6.01051	-5.96792	0.00214133
1	604	-6.00974	-5.96798	0.0021389
1	605	-6.00944	-5.96805	0.00213646
1	606	-6.009	-5.96812	0.00213401
1	607	-6.00856	-5.96819	0.00213153
1	608	-6.00798	-5.96825	0.00212903
1	609	-6.00787	-5.96832	0.00212653
1	610	-6.0073	-5.96838	0.002124
1	611	-6.0069	-5.96844	0.00212146
1	612	-6.00651	-5.96851	0.00211891
1	613	-6.00643	-5.96857	0.00211635
1	614	-6.00622	-5.96863	0.00211379
1	615	-6.00586	-5.96869	0.00211122
1	616	-6.00521	-5.96875	0.00210863
1	617	-6.00458	-5.96881	0.00210601
1	618	-6.00411	-5.96887	0.00210338
1	619	-6.00426	-5.96892	0.00210076
1	620	-6.00382	-5.96898	0.00209812
1	621	-6.00339	-5.96903	0.00209547
1	622	-6.00343	-5.96909	0.00209284
1	623	-6.00303	-5.96914	0.00209019
1	624	-6.00295	-5.9692	0.00208754
1	625	-6.00258	-5.96925	0.00208488
1	626	-6.00207	-5.9693	0.00208221
1	627	-6.00233	-5.96936	0.00207955
1	628	-6.00215	-5.96941	0.0020769
1	629	-6.00213	-5.96946	0.00207425
