BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0
35	0.923387	0.0270229
36	0.949037	0.169762
37	0.974686	0.588787
38	1.00034	1.15722
39	1.02599	1.74059
40	1.05164	2.27405
41	1.07728	2.53091
42	1.10293	2.55535
43	1.12858	2.3989
44	1.15423	2.23905
45	1.17988	2.09049
46	1.20553	1.78685
47	1.23118	1.5454
48	1.25683	1.36662
49	1.28248	1.24229
50	1.30813	1.13809
51	1.33378	1.03547
52	1.35943	0.972418
53	1.38508	0.882959
54	1.41073	0.798063
55	1.43638	0.782038
56	1.46203	0.772194
57	1.48768	0.711613
58	1.51333	0.668546
59	1.53898	0.685237
60	1.56463	0.698797
61	1.59028	0.700327
62	1.61593	0.702394
63	1.64158	0.682449
64	1.66723	0.702712
65	1.69288	0.697461
66	1.71853	0.730725
67	1.74418	0.742536
68	1.76983	0.806287
69	1.79547	0.828969
70	1.82112	0.883992
71	1.84677	0.905506
72	1.87242	0.961577
73	1.89807	1.02961
74	1.92372	1.04853
75	1.94937	1.09016
76	1.97502	1.10255
77	2.00067	1.13376
78	2.02632	1.1509
79	2.05197	1.19622
80	2.07762	1.23757
81	2.10327	1.23238
82	2.12892	1.23148
83	2.15457	1.23727
84	2.18022	1.2062
85	2.20587	1.1595
86	2.23152	1.12058
87	2.25717	1.0973
88	2.28282	1.07235
89	2.30847	1.0581
90	2.33412	1.03708
91	2.35977	0.994029
92	2.38542	0.975102
93	2.41107	0.973192
94	2.43672	0.94633
95	2.46237	0.936956
96	2.48802	0.914772
97	2.51366	0.902741
98	2.53931	0.875307
99	2.56496	0.862521

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00160484
35	0.923387	0.0238183
36	0.949037	0.157718
37	0.974686	0.55056
38	1.00034	1.20885
39	1.02599	1.90314
40	1.05164	2.3969
41	1.07728	2.55772
42	1.10293	2.57487
43	1.12858	2.43536
44	1.15423	2.23326
45	1.17988	1.89802
46	1.20553	1.75363
47	1.23118	1.55692
48	1.25683	1.37549
49	1.28248	1.18431
50	1.30813	1.05428
51	1.33378	0.996472
52	1.35943	0.930142
53	1.38508	0.851076
54	1.41073	0.804219
55	1.43638	0.762707
56	1.46203	0.739897
57	1.48768	0.720379
58	1.51333	0.713233
59	1.53898	0.679887
60	1.56463	0.663846
61	1.59028	0.704267
62	1.61593	0.734097
63	1.64158	0.739569
64	1.66723	0.745795
65	1.69288	0.770356
66	1.71853	0.77955
67	1.74418	0.793183
68	1.76983	0.804798
69	1.79547	0.813941
70	1.82112	0.86763
71	1.84677	0.930136
72	1.87242	0.971348
73	1.89807	1.03456
74	1.92372	1.05498
75	1.94937	1.12021
76	1.97502	1.10944
77	2.00067	1.13598
78	2.02632	1.18532
79	2.05197	1.21259
80	2.07762	1.21074
81	2.10327	1.21539
82	2.12892	1.17093
83	2.15457	1.15362
84	2.18022	1.15874
85	2.20587	1.13667
86	2.23152	1.11584
87	2.25717	1.09079
88	2.28282	1.07796
89	2.30847	1.04619
90	2.33412	1.01712
91	2.35977	1.00021
