BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR
73	1.89807	1.01665
74	1.92372	1.06049
75	1.94937	1.10878
76	1.97502	1.13563
77	2.00067	1.16788
78	2.02632	1.18729
79	2.05197	1.20963
80	2.07762	1.22688
81	2.10327	1.22411
82	2.12892	1.21796
83	2.15457	1.19319
84	2.18022	1.16927
85	2.20587	1.15068
86	2.23152	1.12267
87	2.25717	1.08725
88	2.28282	1.06377
89	2.30847	1.03969
90	2.33412	1.01493
91	2.35977	0.990372
92	2.38542	0.972512
93	2.41107	0.948962
94	2.43672	0.935744
95	2.46237	0.918536
96	2.48802	0.909755
97	2.51366	0.895157
98	2.53931	0.886406
99	2.56496	0.889964

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.0017424
35	0.923387	0.024208
36	0.949037	0.16927
37	0.974686	0.572604
38	1.00034	1.21452
39	1.02599	1.89429
40	1.05164	2.34353
41	1.07728	2.53576
42	1.10293	2.54717
43	1.12858	2.36181
44	1.15423	2.18591
45	1.17988	1.94666
46	1.20553	1.75361
47	1.23118	1.5485
48	1.25683	1.39475
49	1.28248	1.22808
50	1.30813	1.11671
51	1.33378	1.02621
52	1.35943	0.947132
53	1.38508	0.873615
54	1.41073	0.817155
55	1.43638	0.771017
56	1.46203	0.745762
57	1.48768	0.724505
58	1.51333	0.69896
59	1.53898	0.692883
60	1.56463	0.685169
61	1.59028	0.672939
62	1.61593	0.684272
63	1.64158	0.697474
64	1.66723	0.711922
65	1.69288	0.728629
66	1.71853	0.761025
67	1.74418	0.789973
68	1.76983	0.816733
69	1.79547	0.845094
70	1.82112	0.896807
71	1.84677	0.929847
72	1.87242	0.965014
73	1.89807	1.01924
74	1.92372	1.047
75	1.94937	1.092
76	1.97502	1.1316
77	2.00067	1.15964
78	2.02632	1.18518
79	2.05197	1.18948
80	2.07762	1.20708
81	2.10327	1.2119
82	2.12892	1.20558
83	2.15457	1.19395
84	2.18022	1.15516
85	2.20587	1.14214
86	2.23152	1.1185
87	2.25717	1.08824
88	2.28282	1.06373
89	2.30847	1.02997
90	2.33412	1.01247
91	2.35977	0.986871
92	2.38542	0.967192
93	2.41107	0.957303
94	2.43672	0.932193
95	2.46237	0.92263
96	2.48802	0.914233
97	2.51366	0.904843
98	2.53931	0.890411
99	2.56496	0.897048

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.00114632
35	0.923387	0.0277591
36	0.949037	0.160585
37	0.974686	0.556148
38	1.00034	1.18447
39	1.02599	1.85046
40	1.05164	2.30646
41	1.07728	2.55151
42	1.10293	2.54227
43	1.12858	2.41537
44	1.15423	2.19606
45	1.17988	1.98054
46	1.20553	1.77327
47	1.23118	1.58082
48	1.25683	1.4053
49	1.28248	1.24292
50	1.30813	1.11671
51	1.33378	1.02699
52	1.35943	0.943864
53	1.38508	0.870869
54	1.41073	0.818202
55	1.43638	0.776262
56	1.46203	0.739555
57	1.48768	0.717704
58	1.51333	0.694159
59	1.53898	0.68479
60	1.56463	0.683871
61	1.59028	0.681424
62	1.61593	0.684454
63	1.64158	0.686348
64	1.66723	0.710899
65	1.69288	0.71606
66	1.71853	0.737686
67	1.74418	0.776628
68	1.76983	0.806718
69	1.79547	0.844269
70	1.82112	0.891877
71	1.84677	0.922983
72	1.87242	0.969708
73	1.89807	1.00792
74	1.92372	1.04841
75	1.94937	1.08678
76	1.97502	1.12359
77	2.00067	1.15683
78	2.02632	1.18114
79	2.05197	1.19512
80	2.07762	1.21374
81	2.10327	1.20925
82	2.12892	1.22373
83	2.15457	1.20401
84	2.18022	1.18434
85	2.20587	1.1536
86	2.23152	1.12815
87	2.25717	1.09913
88	2.28282	1.06784
89	2.30847	1.04489
90	2.33412	1.01886
91	2.35977	0.986591
92	2.38542	0.963697
93	2.41107	0.957521
94	2.43672	0.941294
95	2.46237	0.926813
96	2.48802	0.915048
97	2.51366	0.898613
98	2.53931	0.896982
99	2.56496	0.891359

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
14	0.384745	0
15	0.410394	0
16	0.436044	0
17	0.461694	0
18	0.487343	0
19	0.512993	0
20	0.538642	0
21	0.564292	0
22	0.589942	0
23	0.615591	0
24	0.641241	0
25	0.666891	0
26	0.69254	0
27	0.71819	0
28	0.74384	0
29	0.769489	0
30	0.795139	0
31	0.820788	0
32	0.846438	0
33	0.872088	0
34	0.897737	0.000779494
35	0.923387	0.023645
36	0.949037	0.164395
37	0.974686	0.577571
38	1.00034	1.2182
39	1.02599	1.89485
40	1.05164	2.37028
41	1.07728	2.57613
42	1.10293	2.53695
43	1.12858	2.39521
44	1.15423	2.2035
45	1.17988	1.96448
46	1.20553	1.74455
47	1.23118	1.54405
48	1.25683	1.38006
49	1.28248	1.23
50	1.30813	1.10442
51	1.33378	1.01905
52	1.35943	0.920538
53	1.38508	0.866026
54	1.41073	0.818643
55	1.43638	0.769564
56	1.46203	0.736495
57	1.48768	0.712323
58	1.51333	0.691177
59	1.53898	0.6713
60	1.56463	0.674254
61	1.59028	0.67418
62	1.61593	0.685586
63	1.64158	0.69252
64	1.66723	0.72428
65	1.69288	0.745244
66	1.71853	0.762123
67	1.74418	0.783325
68	1.76983	0.809742
69	1.79547	0.856664
70	1.82112	0.898355
71	1.84677	0.931524
72	1.87242	0.981389
73	1.89807	1.01247
74	1.92372	1.06369
75	1.94937	1.09832
76	1.97502	1.13098
77	2.00067	1.16953
78	2.02632	1.18719
79	2.05197	1.20039
80	2.07762	1.21668
81	2.10327	1.20364
82	2.12892	1.20436
83	2.15457	1.18256
84	2.18022	1.17167
85	2.20587	1.1407
86	2.23152	1.11278
87	2.25717	1.09819
88	2.28282	1.06308
89	2.30847	1.03348
90	2.33412	1.00929
91	2.35977	0.982751
92	2.38542	0.964207
93	2.41107	0.946802
94	2.43672	0.929767
95	2.46237	0.917495
96	2.48802	0.913389
97	2.51366	0.899526
98	2.53931	0.891311
99	2.56496	0.891767

0	0.0256496	0
1	0.0512993	0
2	0.0769489	0
3	0.102599	0
4	0.128248	0
5	0.153898	0
6	0.179547	0
7	0.205197	0
8	0.230847	0
9	0.256496	0
10	0.282146	0
11	0.307796	0
12	0.333445	0
13	0.359095	0
