BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
65	1.69288	0.720489	0.00213536
66	1.71853	0.748411	0.00275957
67	1.74418	0.778851	0.0024333
68	1.76983	0.812466	0.00203149
69	1.79547	0.84893	0.00238722
70	1.82112	0.891828	0.00194367
71	1.84677	0.935343	0.0028167
72	1.87242	0.972862	0.00332153
73	1.89807	1.01786	0.00331746
74	1.92372	1.05659	0.00251109
75	1.94937	1.09463	0.00370621
76	1.97502	1.13038	0.00336795
77	2.00067	1.1593	0.00251744
78	2.02632	1.18282	0.00220566
79	2.05197	1.20254	0.00240275
80	2.07762	1.21524	0.00203857
81	2.10327	1.21681	0.00158929
82	2.12892	1.21079	0.00219759
83	2.15457	1.19602	0.00153605
84	2.18022	1.17613	0.00322149
85	2.20587	1.15186	0.00150419
86	2.23152	1.12697	0.00183689
87	2.25717	1.09864	0.00322476
88	2.28282	1.06773	0.00157963
89	2.30847	1.04052	0.00300081
90	2.33412	1.01467	0.00276264
91	2.35977	0.991357	0.00336013
92	2.38542	0.970834	0.00254411
93	2.41107	0.949361	0.00250836
