Step	Energy
934	-5.41324
935	-5.30851
936	-5.38965
937	-5.42171
938	-5.36309
939	-5.47858
940	-5.50312
941	-5.47862
942	-5.4408
943	-5.43686
944	-5.40463
945	-5.38916
946	-5.31091
947	-5.28798
948	-5.43179
949	-5.39386
950	-5.40668
951	-5.30802
952	-5.38318
953	-5.35937
954	-5.34004
955	-5.35748
956	-5.37582
957	-5.33928
958	-5.34204
959	-5.24991
960	-5.26694
961	-5.26907
962	-5.34405
963	-5.43178
964	-5.36092
965	-5.30858
966	-5.21897
967	-5.41754
968	-5.41423
969	-5.47754
970	-5.34906
971	-5.37361
972	-5.37468
973	-5.36989
974	-5.34042
975	-5.32994
976	-5.26529
977	-5.27961
978	-5.37267
979	-5.44328
980	-5.45836
981	-5.45854
982	-5.42533
983	-5.3271
984	-5.40271
985	-5.35982
986	-5.41923
987	-5.53887
988	-5.54214
989	-5.44623
990	-5.41702
991	-5.44187
992	-5.36631
993	-5.38887
994	-5.36321
995	-5.51644
996	-5.40388
997	-5.34501
998	-5.41876
999	-5.50913
1000	-5.51597
1001	-5.50769
1002	-5.47919
1003	-5.5704
1004	-5.5126
1005	-5.5264
1006	-5.47633
1007	-5.46455
1008	-5.4446
1009	-5.45185
1010	-5.40783
1011	-5.46047
1012	-5.53501
1013	-5.50609
1014	-5.48724
1015	-5.49795
1016	-5.55514
1017	-5.50631
1018	-5.52852
1019	-5.46176
1020	-5.42115
1021	-5.51422
1022	-5.49994
1023	-5.49124
1024	-5.46587
1025	-5.33657
1026	-5.34296
1027	-5.27979
1028	-5.28721
1029	-5.42283
1030	-5.48402
1031	-5.46484
1032	-5.51305
1033	-5.48668
1034	-5.52223
1035	-5.5317
1036	-5.41142
1037	-5.44422
1038	-5.49376
1039	-5.52828
1040	-5.44269
1041	-5.45078
1042	-5.44138
1043	-5.43931
1044	-5.41128
1045	-5.53928
1046	-5.4797
1047	-5.44974
1048	-5.50461
1049	-5.49587
1050	-5.43318
1051	-5.3582
1052	-5.30153
1053	-5.34374
1054	-5.38727
1055	-5.44683
1056	-5.43502
1057	-5.45623
1058	-5.50095
1059	-5.51864
1060	-5.66501
1061	-5.60613
1062	-5.58299
1063	-5.59307
1064	-5.49506
1065	-5.53309
1066	-5.47226
1067	-5.49661
1068	-5.46039
1069	-5.42933
1070	-5.48439
1071	-5.61686
1072	-5.56823
1073	-5.5436
1074	-5.57594
1075	-5.5151
1076	-5.44179
1077	-5.44474
1078	-5.43524
1079	-5.38836
1080	-5.46554
1081	-5.40694
1082	-5.42807
1083	-5.49903
1084	-5.5073
1085	-5.47368
1086	-5.44039
1087	-5.40707
1088	-5.40502
1089	-5.4163
1090	-5.39181
1091	-5.32396
1092	-5.34017
1093	-5.3652
1094	-5.5176
1095	-5.62397
1096	-5.5817
1097	-5.53342
1098	-5.42526
1099	-5.39132
1100	-5.46103
1101	-5.45762
1102	-5.50703
1103	-5.52235
1104	-5.41276
1105	-5.37181
1106	-5.42464
1107	-5.32684
1108	-5.33206
1109	-5.33545
1110	-5.34147
1111	-5.32904
1112	-5.31822
1113	-5.32873
1114	-5.35339
1115	-5.30499
1116	-5.33268
1117	-5.35434
1118	-5.36525
1119	-5.3793
1120	-5.4451
1121	-5.46771
1122	-5.38906
1123	-5.44269
1124	-5.50592
1125	-5.50351
1126	-5.47917
1127	-5.49819
1128	-5.48791
1129	-5.45196
1130	-5.53815
1131	-5.5707
1132	-5.5741
1133	-5.57004
1134	-5.65163
1135	-5.68173
1136	-5.65759
1137	-5.70113
1138	-5.5691
1139	-5.53142
1140	-5.55353
1141	-5.45966
1142	-5.49452
1143	-5.49905
1144	-5.36184
1145	-5.37935
1146	-5.45715
1147	-5.42414
1148	-5.34192
1149	-5.31796
1150	-5.34729
1151	-5.43213
1152	-5.4651
1153	-5.51526
1154	-5.49985
1155	-5.3832
1156	-5.38676
1157	-5.39808
1158	-5.40014
1159	-5.43674
1160	-5.46306
1161	-5.53058
1162	-5.44417
1163	-5.38303
1164	-5.35385
1165	-5.36714
1166	-5.38945
1167	-5.39835
1168	-5.41061
1169	-5.29716
1170	-5.36947
1171	-5.36851
1172	-5.37457
1173	-5.42241
1174	-5.49244
1175	-5.42927
1176	-5.44029
1177	-5.43715
1178	-5.43318
1179	-5.41521
1180	-5.42377
1181	-5.45525
1182	-5.4514
1183	-5.39368
1184	-5.44202
1185	-5.338
1186	-5.35136
1187	-5.38217
1188	-5.33355
1189	-5.37102
1190	-5.34456
1191	-5.34125
1192	-5.35648
1193	-5.34738
1194	-5.37151
1195	-5.20525
1196	-5.26089
1197	-5.30324
1198	-5.37916
1199	-5.3781
1200	-5.25781
1201	-5.34519
1202	-5.49198
1203	-5.30735
1204	-5.23779
1205	-5.23662
1206	-5.33548
1207	-5.37454
1208	-5.31299
1209	-5.431
1210	-5.3643
1211	-5.26916
1212	-5.29529
1213	-5.33188
1214	-5.34691
1215	-5.42065
1216	-5.4181
1217	-5.3821
1218	-5.445
1219	-5.41564
1220	-5.3816
1221	-5.35481
1222	-5.33652
1223	-5.45282
1224	-5.52947
1225	-5.46554
1226	-5.33341
1227	-5.30583
1228	-5.49349
1229	-5.56481
1230	-5.47833
1231	-5.485
1232	-5.4902
1233	-5.37795
1234	-5.37385
1235	-5.30916
1236	-5.30679
1237	-5.35835
1238	-5.41379
1239	-5.39747
1240	-5.36324
1241	-5.3329
1242	-5.40494
1243	-5.31561
1244	-5.34829
1245	-5.43867
1246	-5.4351
1247	-5.45682
1248	-5.37361
1249	-5.41134
1250	-5.45686
1251	-5.44672
1252	-5.437
1253	-5.44982
1254	-5.53108
1255	-5.57758
1256	-5.56742
1257	-5.55794
1258	-5.52963
1259	-5.40895
1260	-5.37202
1261	-5.32439
1262	-5.41304
1263	-5.35152
1264	-5.4403
1265	-5.51402
1266	-5.48334
1267	-5.54485
1268	-5.571
1269	-5.60185
1270	-5.53665
1271	-5.5396
1272	-5.48512
1273	-5.52336
1274	-5.51699
1275	-5.5054
1276	-5.52724
1277	-5.54873
1278	-5.54963
1279	-5.44995
1280	-5.54685
1281	-5.48781
1282	-5.49855
1283	-5.55738
1284	-5.6139
1285	-5.50181
1286	-5.5467
1287	-5.48789
1288	-5.41625
1289	-5.40642
1290	-5.32554
1291	-5.42318
1292	-5.36854
1293	-5.41838
1294	-5.51004
1295	-5.48792
1296	-5.44326
1297	-5.41968
1298	-5.35175
1299	-5.41907
1300	-5.40285
1301	-5.42689
1302	-5.44645
1303	-5.46369
1304	-5.44488
1305	-5.49769
1306	-5.54242
1307	-5.54065
1308	-5.58737
1309	-5.49756
1310	-5.46952
1311	-5.46445
1312	-5.4301
1313	-5.36937
1314	-5.33748
1315	-5.23995
1316	-5.32619
1317	-5.3882
1318	-5.40646
1319	-5.37229
1320	-5.40648
1321	-5.52734
1322	-5.51507
1323	-5.47011
1324	-5.48394
1325	-5.4933
1326	-5.49621
1327	-5.51585
1328	-5.43442
1329	-5.46275
1330	-5.5096
1331	-5.47522
1332	-5.45523
1333	-5.42636
1334	-5.43749
1335	-5.52475
1336	-5.52617
1337	-5.53282
1338	-5.52562
1339	-5.46287
1340	-5.44566
1341	-5.44801
1342	-5.49912
1343	-5.52572
1344	-5.42203
1345	-5.41801
1346	-5.49946
1347	-5.42493
1348	-5.3617
1349	-5.39863
1350	-5.38372
1351	-5.41135
1352	-5.4921
1353	-5.49821
1354	-5.51245
1355	-5.60942
1356	-5.65437
1357	-5.63637
1358	-5.58757
1359	-5.60642
1360	-5.65724
1361	-5.59751
1362	-5.71082
1363	-5.65167
1364	-5.6021
1365	-5.48404
1366	-5.49551
1367	-5.55316
1368	-5.60588
1369	-5.51959
1370	-5.52535
1371	-5.51234
1372	-5.46216
1373	-5.5952
1374	-5.55011
1375	-5.45085
1376	-5.39999
1377	-5.39803
1378	-5.42483
1379	-5.37615
1380	-5.42593
1381	-5.4172
1382	-5.45313
1383	-5.43633
1384	-5.46923
1385	-5.52638
1386	-5.53033
1387	-5.43982
1388	-5.35194
1389	-5.38422
1390	-5.42869
1391	-5.52721
1392	-5.50392
1393	-5.48089
1394	-5.59409
1395	-5.56435
1396	-5.51068
1397	-5.43907
1398	-5.48011
1399	-5.48592
1400	-5.45963
1401	-5.4859
1402	-5.48082
1403	-5.58891
1404	-5.42056
1405	-5.41849
1406	-5.46972
1407	-5.55215
1408	-5.52833
1409	-5.56168
1410	-5.52335
1411	-5.62566
1412	-5.5957
1413	-5.57031
1414	-5.55139
1415	-5.48551
1416	-5.5066
1417	-5.51548
1418	-5.58293
1419	-5.49881
1420	-5.49582
1421	-5.47201
1422	-5.41762
1423	-5.30326
1424	-5.26071
