BIN SIZE	0.0256496
BIN	DISTANCE	AVE_GOFR	ERROR
67	1.74418	0.771684	0.00796647
68	1.76983	0.820511	0.0091216
69	1.79547	0.855605	0.00625754
70	1.82112	0.895135	0.00489523
71	1.84677	0.938906	0.00985571
72	1.87242	0.974404	0.00912366
73	1.89807	1.01911	0.00884884
74	1.92372	1.0604	0.00780094
75	1.94937	1.09689	0.00564948
76	1.97502	1.12262	0.00852253
77	2.00067	1.14869	0.00627748
78	2.02632	1.18482	0.00869848
79	2.05197	1.20498	0.00471945
80	2.07762	1.20568	0.00640831
81	2.10327	1.22029	0.00491595
82	2.12892	1.20627	0.00868524
83	2.15457	1.2015	0.00733256
84	2.18022	1.18888	0.00471237
85	2.20587	1.14761	0.00719826
86	2.23152	1.12412	0.00277737
87	2.25717	1.09037	0.0049125
88	2.28282	1.05527	0.00753232
89	2.30847	1.03142	0.00878636
90	2.33412	1.00893	0.0091008
91	2.35977	0.986236	0.00751574
92	2.38542	0.963717	0.00351552
93	2.41107	0.940283	0.00513042
94	2.43672	0.923708	0.00562113
95	2.46237	0.913671	0.00724154
96	2.48802	0.901607	0.00314682
97	2.51366	0.903878	0.00355792
98	2.53931	0.893994	0.00342014
99	2.56496	0.8958	0.00609294

0	0.0256496	0	0
1	0.0512993	0	0
2	0.0769489	0	0
3	0.102599	0	0
4	0.128248	0	0
5	0.153898	0	0
6	0.179547	0	0
7	0.205197	0	0
8	0.230847	0	0
9	0.256496	0	0
10	0.282146	0	0
11	0.307796	0	0
12	0.333445	0	0
13	0.359095	0	0
14	0.384745	0	0
15	0.410394	0	0
16	0.436044	0	0
17	0.461694	0	0
18	0.487343	0	0
19	0.512993	0	0
20	0.538642	0	0
21	0.564292	0	0
22	0.589942	0	0
23	0.615591	0	0
24	0.641241	0	0
25	0.666891	0	0
26	0.69254	0	0
27	0.71819	0	0
28	0.74384	0	0
29	0.769489	0	0
30	0.795139	0	0
31	0.820788	0	0
32	0.846438	0	0
33	0.872088	0	0
34	0.897737	0.000728547	0.000216564
35	0.923387	0.0223699	0.00102684
36	0.949037	0.156316	0.00218933
37	0.974686	0.570141	0.00533748
38	1.00034	1.1984	0.00826078
39	1.02599	1.85462	0.0161162
40	1.05164	2.34072	0.0154023
41	1.07728	2.56723	0.0114235
42	1.10293	2.5677	0.0112869
43	1.12858	2.40988	0.0110469
44	1.15423	2.19789	0.0110415
45	1.17988	1.981	0.0185797
46	1.20553	1.74963	0.00885706
47	1.23118	1.54032	0.00816634
48	1.25683	1.36882	0.00639149
49	1.28248	1.23205	0.0096807
50	1.30813	1.11385	0.0100965
51	1.33378	1.01868	0.00977109
52	1.35943	0.927429	0.00906652
53	1.38508	0.862494	0.00466371
54	1.41073	0.807908	0.00581067
55	1.43638	0.780672	0.00482374
56	1.46203	0.748872	0.00562758
57	1.48768	0.714707	0.00579018
58	1.51333	0.691861	0.00881288
59	1.53898	0.676124	0.00687219
60	1.56463	0.68576	0.00872804
61	1.59028	0.688554	0.00678342
62	1.61593	0.688104	0.0106939
63	1.64158	0.69601	0.00654799
64	1.66723	0.718506	0.00483829
65	1.69288	0.726665	0.00763932
66	1.71853	0.748062	0.00454557
67	1.74418	0.774073	0.00743083
68	1.76983	0.818765	0.00827349
69	1.79547	0.850976	0.00707022
70	1.82112	0.892079	0.00521881
