block	ave	block_ave	err
492	0.447775	0.501193	0.00130238
493	0.54093	0.501273	0.00130222
494	0.554899	0.501382	0.0013041
495	0.494537	0.501368	0.00130154
496	0.546144	0.501458	0.00130204
497	0.518161	0.501492	0.00129986
498	0.532539	0.501554	0.00129874
499	0.516211	0.501583	0.00129647
500	0.479597	0.501539	0.00129462
501	0.544412	0.501625	0.00129486
502	0.491325	0.501604	0.00129245
503	0.5019	0.501605	0.00128988
504	0.518939	0.501639	0.00128778
505	0.542433	0.50172	0.00128776
506	0.480002	0.501677	0.00128593
507	0.483643	0.501641	0.00128389
508	0.518894	0.501675	0.00128181
509	0.455932	0.501586	0.00128244
510	0.519653	0.501621	0.00128041
511	0.510269	0.501638	0.00127802
512	0.487402	0.50161	0.00127583
513	0.496788	0.501601	0.00127338
514	0.484718	0.501568	0.00127133
515	0.573759	0.501708	0.00127655
516	0.464462	0.501636	0.00127611
517	0.52915	0.501689	0.00127475
518	0.430752	0.501552	0.00127962
519	0.454668	0.501462	0.00128033
520	0.474892	0.501411	0.00127889
521	0.474793	0.50136	0.00127746
522	0.503276	0.501364	0.00127502
523	0.541015	0.501439	0.00127483
524	0.509373	0.501454	0.00127249
525	0.524111	0.501498	0.0012708
526	0.472118	0.501442	0.00126961
527	0.47497	0.501392	0.00126819
528	0.498164	0.501386	0.00126581
529	0.467118	0.501321	0.00126507
530	0.485593	0.501291	0.00126303
531	0.511764	0.501311	0.00126081
532	0.501864	0.501312	0.00125844
533	0.498838	0.501307	0.00125609
534	0.498926	0.501303	0.00125375
535	0.50515	0.50131	0.00125143
536	0.533572	0.50137	0.00125054
537	0.543447	0.501448	0.00125066
538	0.481269	0.501411	0.0012489
539	0.513823	0.501434	0.0012468
540	0.466861	0.50137	0.00124613
541	0.501559	0.50137	0.00124383
542	0.485701	0.501342	0.00124187
543	0.493162	0.501327	0.00123968
544	0.5039	0.501331	0.00123741
545	0.475011	0.501283	0.00123608
546	0.506579	0.501293	0.00123386
547	0.496662	0.501284	0.00123163
548	0.568123	0.501406	0.0012354
549	0.463548	0.501337	0.00123507
550	0.45862	0.50126	0.00123526
551	0.511446	0.501278	0.00123316
552	0.535818	0.501341	0.00123251
553	0.527748	0.501388	0.00123121
554	0.522084	0.501426	0.00122956
555	0.45222	0.501337	0.00123053
556	0.501003	0.501336	0.00122832
557	0.472601	0.501285	0.0012272
558	0.498437	0.50128	0.00122501
559	0.50805	0.501292	0.00122288
560	0.507967	0.501304	0.00122076
561	0.506085	0.501312	0.00121861
562	0.530867	0.501365	0.00121758
563	0.546343	0.501445	0.00121803
564	0.505852	0.501452	0.0012159
565	0.537132	0.501515	0.00121538
566	0.554031	0.501608	0.00121677
567	0.518389	0.501638	0.00121498
568	0.499658	0.501634	0.00121285
569	0.477351	0.501591	0.00121147
570	0.5074	0.501602	0.00120939
571	0.580857	0.50174	0.0012152
572	0.522029	0.501776	0.00121359
573	0.460891	0.501704	0.00121357
574	0.506585	0.501713	0.00121149
575	0.537616	0.501775	0.00121099
576	0.49021	0.501755	0.00120905
577	0.486807	0.501729	0.00120723
578	0.567022	0.501842	0.00121041
579	0.516247	0.501867	0.00120858
580	0.542547	0.501937	0.00120853
581	0.508315	0.501948	0.0012065
582	0.514379	0.501969	0.00120462
583	0.473632	0.501921	0.00120353
584	0.508901	0.501933	0.00120153
585	0.523308	0.501969	0.00120003
586	0.516063	0.501993	0.00119823
587	0.454984	0.501913	0.00119886
588	0.479347	0.501875	0.00119743
589	0.5105	0.501889	0.00119549
590	0.56822	0.502002	0.00119873
591	0.530709	0.50205	0.00119769
592	0.485551	0.502022	0.00119599
593	0.495587	0.502012	0.00119402
594	0.482572	0.501979	0.00119246
595	0.475456	0.501934	0.00119129
596	0.469181	0.501879	0.00119056
597	0.511792	0.501896	0.00118868
598	0.507493	0.501905	0.00118673
599	0.493746	0.501892	0.00118483
600	0.541731	0.501958	0.00118471
601	0.479163	0.50192	0.00118335
602	0.517685	0.501946	0.00118168
603	0.516541	0.501971	0.00117996
604	0.500142	0.501968	0.00117802
605	0.527016	0.502009	0.0011768
606	0.546831	0.502083	0.00117718
607	0.473144	0.502035	0.0011762
608	0.502587	0.502036	0.00117427
