INITIAL DISTRIBUTION	DELTA
BIN SIZE	0.188562
BIN	VMIN	VMAX	AVE	PROG_AVE_POFV	ERROR
4	0.942809	1.13137	9.841	9.54427	0.812872
5	1.13137	1.31993	14.9875	10.8663	0.888666
6	1.31993	1.50849	12.559	18.7962	5.15312
7	1.50849	1.69706	13.335	12.945	1.08928
8	1.69706	1.88562	10.1845	10.781	0.539281
9	1.88562	2.07418	10.381	9.35196	0.757264
10	2.07418	2.26274	8.5185	6.91792	0.609219
11	2.26274	2.4513	4.8	4.84038	0.5833
12	2.4513	2.63987	2.4305	3.11027	0.345001
13	2.63987	2.82843	1.8435	1.88523	0.203491
14	2.82843	3.01699	3.055	1.36812	0.227722
15	3.01699	3.20555	1.022	0.518885	0.0889801
16	3.20555	3.39411	0.3805	0.268192	0.0598699
17	3.39411	3.58267	0.2335	0.163962	0.0529237
18	3.58267	3.77124	0.1425	0.0729231	0.0253194
19	3.77124	3.9598	0.2005	0.127692	0.060452
20	3.9598	4.14836	0.086	0.0344231	0.0159694
21	4.14836	4.33692	0.025	0.00930769	0.00718099
22	4.33692	4.52548	0.1245	0.00957692	0.00920121
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	0.754	1.28271	0.208124
1	0.377124	0.565685	1.7145	2.78361	0.318156
2	0.565685	0.754247	5.5865	5.52207	0.608689
3	0.754247	0.942809	6.553	6.39664	0.62694
4	0.942809	1.13137	10.1245	9.58571	0.755866
5	1.13137	1.31993	11.6785	10.9243	0.827081
6	1.31993	1.50849	13.7985	18.4392	4.79739
7	1.50849	1.69706	11.3475	12.8309	1.01743
8	1.69706	1.88562	11.7215	10.8482	0.504927
9	1.88562	2.07418	12.02	9.54254	0.726758
10	2.07418	2.26274	9.11	7.0745	0.585479
11	2.26274	2.4513	4.2935	4.80132	0.542942
12	2.4513	2.63987	4.048	3.17725	0.326795
13	2.63987	2.82843	2.001	1.8935	0.189124
14	2.82843	3.01699	2.125	1.42218	0.217779
15	3.01699	3.20555	0.612	0.525536	0.0828726
16	3.20555	3.39411	0.2135	0.264286	0.0557208
17	3.39411	3.58267	0.159	0.163607	0.0491447
18	3.58267	3.77124	0.015	0.0687857	0.0238465
19	3.77124	3.9598	0	0.118571	0.0568179
20	3.9598	4.14836	0	0.0319643	0.0150169
21	4.14836	4.33692	0	0.00864286	0.00669877
22	4.33692	4.52548	0	0.00889286	0.00856937
23	4.52548	4.71405	0	0	0
24	4.71405	4.90261	0	0	0
25	4.90261	5.09117	0	0	0
26	5.09117	5.27973	0	0	0
27	5.27973	5.46829	0	0	0
28	5.46829	5.65685	0	0	0
29	5.65685	5.84542	0	0	0

0	0.188562	0.377124	1.6395	1.3065	0.195604
1	0.377124	0.565685	2.278	2.7499	0.298726
2	0.565685	0.754247	6.121	5.562	0.569417
3	0.754247	0.942809	7.4635	6.46777	0.589165
4	0.942809	1.13137	8.517	9.51447	0.708824
5	1.13137	1.31993	11.443	10.9589	0.772665
6	1.31993	1.50849	10.4615	17.9073	4.50694
7	1.50849	1.69706	15.051	12.9789	0.960309
8	1.69706	1.88562	10.496	10.8247	0.471811
