step	acc_rate
0	-nan
1411	0.0120482
1412	0.0120397
1413	0.0120311
1414	0.0120226
1415	0.0120141
1416	0.0120056
1417	0.0119972
1418	0.0119887
1419	0.0119803
1420	0.0119718
1421	0.0119634
1422	0.011955
1423	0.0119466
1424	0.0119382
1425	0.0119298
1426	0.0119215
1427	0.0119131
1428	0.0119048
1429	0.0118964
1430	0.0118881
1431	0.0118798
1432	0.0118715
1433	0.0118632
1434	0.011855
1435	0.0118467
1436	0.0118384
1437	0.0118302
1438	0.011822
1439	0.0118138
1440	0.0118056
1441	0.0117974
1442	0.0117892
1443	0.011781
1444	0.0117729
1445	0.0117647
1446	0.0117566
1447	0.0117484
1448	0.0117403
1449	0.0117322
1450	0.0117241
1451	0.0117161
1452	0.011708
1453	0.0116999
1454	0.0116919
1455	0.0116838
1456	0.0116758
1457	0.0116678
1458	0.0116598
1459	0.0116518
1460	0.0116438
1461	0.0116359
1462	0.0116279
1463	0.01162
1464	0.011612
1465	0.0116041
1466	0.0115962
1467	0.0115883
1468	0.0115804
1469	0.0115725
1470	0.0115646
1471	0.0115568
1472	0.0115489
1473	0.0115411
1474	0.0115332
1475	0.0115254
1476	0.0115176
1477	0.0115098
1478	0.011502
1479	0.0114943
1480	0.0114865
1481	0.0114787
1482	0.011471
1483	0.0114633
1484	0.0114555
1485	0.0114478
1486	0.0114401
1487	0.0114324
1488	0.0114247
1489	0.0114171
1490	0.0114094
1491	0.0114017
1492	0.0113941
1493	0.0113865
1494	0.0113788
1495	0.0113712
1496	0.0113636
1497	0.011356
1498	0.0113485
1499	0.0113409
1500	0.0113333
1501	0.0113258
1502	0.0113182
1503	0.0113107
1504	0.0113032
1505	0.0112957
1506	0.0112882
1507	0.0112807
1508	0.0112732
1509	0.0112657
1510	0.0112583
1511	0.0112508
1512	0.0112434
1513	0.011236
1514	0.0112285
1515	0.0112211
1516	0.0112137
1517	0.0112063
1518	0.0111989
1519	0.0111916
1520	0.0111842
1521	0.0111769
1522	0.0111695
1523	0.0111622
1524	0.0111549
1525	0.0111475
1526	0.0111402
1527	0.0111329
1528	0.0111257
1529	0.0111184
1530	0.0111111
1531	0.0111039
1532	0.0110966
1533	0.0110894
1534	0.0110821
1535	0.0110749
1536	0.0110677
1537	0.0110605
1538	0.0110533
1539	0.0110461
1540	0.011039
1541	0.0110318
1542	0.0110246
1543	0.0110175
1544	0.0110104
1545	0.0110032
1546	0.0109961
1547	0.010989
1548	0.0109819
1549	0.0109748
1550	0.0109677
1551	0.0109607
1552	0.0109536
1553	0.0109466
1554	0.0109395
1555	0.0109325
1556	0.0109254
1557	0.0109184
1558	0.0109114
1559	0.0109044
1560	0.0108974
1561	0.0108905
1562	0.0108835
1563	0.0108765
1564	0.0108696
1565	0.0108626
1566	0.0108557
1567	0.0108488
1568	0.0108418
1569	0.0108349
1570	0.010828
1571	0.0108211
1572	0.0108142
1573	0.0108074
1574	0.0108005
1575	0.0107937
1576	0.0107868
1577	0.01078
1578	0.0107731
1579	0.0107663
1580	0.0107595
1581	0.0107527
1582	0.0107459
1583	0.0107391
1584	0.0107323
1585	0.0107256
1586	0.0107188
1587	0.010712
1588	0.0107053
1589	0.0106986
1590	0.0106918
1591	0.0106851
1592	0.0106784
1593	0.0106717
1594	0.010665
1595	0.0106583
1596	0.0106516
1597	0.010645
1598	0.0106383
1599	0.0106316
1600	0.010625
1601	0.0106184
1602	0.0106117
1603	0.0106051
1604	0.0105985
1605	0.0105919
1606	0.0105853
1607	0.0105787
1608	0.0105721
1609	0.0105656
1610	0.010559
1611	0.0105525
1612	0.0105459
1613	0.0105394
1614	0.0105328
1615	0.0105263
1616	0.0105198
1617	0.0105133
1618	0.0105068
1619	0.0105003
1620	0.0104938
1621	0.0104874
1622	0.0104809
1623	0.0104744
1624	0.010468
1625	0.0104615
1626	0.0104551
1627	0.0104487
1628	0.0104423
1629	0.0104359
1630	0.0104294
1631	0.0104231
1632	0.0104167
1633	0.0104103
1634	0.0104039
1635	0.0103976
1636	0.0103912
1637	0.0103849
1638	0.0103785
1639	0.0103722
1640	0.0103659
1641	0.0103595
1642	0.0103532
1643	0.0103469
1644	0.0103406
1645	0.0103343
1646	0.0103281
1647	0.0103218
1648	0.0103155
1649	0.0103093
1650	0.010303
1651	0.0102968
1652	0.0102906
1653	0.0102843
1654	0.0102781
1655	0.0102719
1656	0.0102657
1657	0.0102595
1658	0.0102533
1659	0.0102471
1660	0.010241
1661	0.0102348
1662	0.0102286
1663	0.0102225
1664	0.0102163
1665	0.0102102
1666	0.0102041
1667	0.010198
1668	0.0101918
1669	0.0101857
1670	0.0101796
1671	0.0101735
1672	0.0101675
1673	0.0101614
1674	0.0101553
1675	0.0101493
1676	0.0101432
1677	0.0101371
1678	0.0101311
1679	0.0101251
1680	0.010119
1681	0.010113
1682	0.010107
1683	0.010101
1684	0.010095
1685	0.010089
1686	0.010083
1687	0.0100771
1688	0.0100711
1689	0.0100651
1690	0.0100592
1691	0.0100532
1692	0.0100473
1693	0.0100413
1694	0.0100354
1695	0.0100295
1696	0.0100236
